City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Zhaotong,CN,2022-08-11 02:57:36,27.3167,103.7167,74.03,62,99,3.24,overcast clouds
60,Sobolevo,RU,2022-08-11 02:57:36,54.4299,31.8996,56.17,82,89,8.34,overcast clouds
61,Ushuaia,AR,2022-08-11 02:57:32,-54.8,-68.3,35.26,93,100,2.3,overcast clouds
62,Genhe,CN,2022-08-11 02:57:37,50.7833,121.5167,59.74,69,93,6.06,overcast clouds
63,Baruun-Urt,MN,2022-08-11 02:57:37,46.6806,113.2792,70.45,54,27,5.01,scattered clouds
64,Carnarvon,AU,2022-08-11 02:57:38,-24.8667,113.6333,65.23,34,0,17.29,clear sky
65,Cayenne,GF,2022-08-11 02:57:38,4.9333,-52.3333,80.1,1,36,7.99,scattered clouds
66,Ponta Delgada,PT,2022-08-11 02:57:38,37.7333,-25.6667,72.5,73,40,5.75,scattered clouds
67,Saint-Philippe,RE,2022-08-11 02:57:38,-21.3585,55.7679,63.99,82,73,13.71,light rain
68,Bilma,NE,2022-08-11 02:57:39,18.6853,12.9164,93.96,13,68,21.52,broken clouds
69,Port Lincoln,AU,2022-08-11 02:57:39,-34.7333,135.8667,54.66,79,83,26.75,light rain
70,Nyurba,RU,2022-08-11 02:57:39,63.2842,118.3319,63.34,68,100,6.58,overcast clouds
71,Khorixas,NA,2022-08-11 02:57:40,-20.3667,14.9667,61.02,33,0,2.39,clear sky
72,Mataura,NZ,2022-08-11 02:57:40,-46.1927,168.8643,44.47,59,31,5.86,scattered clouds
73,Ust-Kalmanka,RU,2022-08-11 02:57:41,52.1207,83.305,74.03,53,99,3.06,overcast clouds
74,Rikitea,PF,2022-08-11 02:55:53,-23.1203,-134.9692,73.33,75,100,22.1,overcast clouds
75,Carutapera,BR,2022-08-11 02:53:18,-1.195,-46.02,75.94,89,20,5.97,few clouds
76,Kutum,SD,2022-08-11 02:57:41,14.2,24.6667,70.63,80,97,5.1,overcast clouds
77,Kirakira,SB,2022-08-11 02:55:38,-10.4544,161.9205,81.75,83,42,7.92,scattered clouds
78,Ribeira Grande,PT,2022-08-11 02:57:41,38.5167,-28.7,72.32,73,37,6.89,scattered clouds
79,Narsaq,GL,2022-08-11 02:57:42,60.9167,-46.05,44.35,88,100,8.19,overcast clouds
80,Yellowknife,CA,2022-08-11 02:57:42,62.456,-114.3525,56.43,59,100,21.59,overcast clouds
81,Ancud,CL,2022-08-11 02:57:43,-41.8697,-73.8203,51.22,95,100,14.79,light rain
82,Golden,US,2022-08-11 02:57:43,39.7555,-105.2211,83.14,37,2,5.99,clear sky
83,Saskylakh,RU,2022-08-11 02:57:20,71.9167,114.0833,49.6,70,100,14.81,overcast clouds
84,Pangnirtung,CA,2022-08-11 02:57:43,66.1451,-65.7125,43.14,89,61,0.36,broken clouds
85,Qaanaaq,GL,2022-08-11 02:57:44,77.484,-69.3632,33.01,68,46,5.77,scattered clouds
86,College,US,2022-08-11 02:55:46,64.8569,-147.8028,68.0,44,0,3.44,clear sky
87,Gladstone,AU,2022-08-11 02:57:44,-23.85,151.25,74.79,46,40,12.66,scattered clouds
88,Lakhnadon,IN,2022-08-11 02:57:44,22.6,79.6,71.78,97,100,11.7,overcast clouds
89,Punta Arenas,CL,2022-08-11 02:57:45,-53.15,-70.9167,33.91,93,0,4.61,clear sky
90,Tura,IN,2022-08-11 02:57:45,25.5198,90.2201,82.15,70,0,7.87,clear sky
91,Pevek,RU,2022-08-11 02:57:45,69.7008,170.3133,43.27,91,23,1.68,few clouds
92,Victor Harbor,AU,2022-08-11 02:57:46,-35.5667,138.6167,60.01,60,17,4.0,few clouds
93,Antalaha,MG,2022-08-11 02:57:46,-14.9003,50.2788,64.78,87,57,10.13,broken clouds
94,Hualmay,PE,2022-08-11 02:57:46,-11.0964,-77.6139,61.48,84,67,9.35,broken clouds
95,Podor,MR,2022-08-11 02:57:47,16.6527,-14.9587,80.85,69,96,16.04,overcast clouds
96,Bluff,NZ,2022-08-11 02:57:47,-46.6,168.3333,44.8,56,8,8.55,clear sky
97,Pingzhuang,CN,2022-08-11 02:57:47,42.0372,119.2889,78.51,48,55,5.14,broken clouds
98,Avarua,CK,2022-08-11 02:57:48,-21.2078,-159.775,75.25,73,9,17.27,clear sky
99,Poya,NC,2022-08-11 02:57:48,-21.35,165.15,71.26,51,3,13.42,clear sky
100,Okhotsk,RU,2022-08-11 02:57:48,59.3833,143.3,58.96,88,100,9.57,overcast clouds
101,Mar Del Plata,AR,2022-08-11 02:55:30,-38.0023,-57.5575,47.08,87,0,13.0,clear sky
102,Dhidhdhoo,MV,2022-08-11 02:57:49,6.8833,73.1,81.79,84,49,13.62,scattered clouds
103,Ulaangom,MN,2022-08-11 02:57:49,49.9811,92.0667,68.22,53,99,9.19,overcast clouds
104,Bahir Dar,ET,2022-08-11 02:57:49,11.5936,37.3908,59.41,95,100,3.31,moderate rain
105,Butaritari,KI,2022-08-11 02:56:01,3.0707,172.7902,81.88,74,13,14.09,few clouds
106,Andros Town,BS,2022-08-11 02:57:50,24.7,-77.7667,82.36,75,0,14.54,clear sky
107,Chuy,UY,2022-08-11 02:57:50,-33.6971,-53.4616,48.33,86,100,3.2,overcast clouds
108,Kaitangata,NZ,2022-08-11 02:55:41,-46.2817,169.8464,44.74,59,24,6.73,few clouds
109,Iqaluit,CA,2022-08-11 02:57:50,63.7506,-68.5145,41.13,85,9,3.49,clear sky
110,Nizhniy Tsasuchey,RU,2022-08-11 02:57:51,50.5167,115.1333,72.55,42,70,10.02,broken clouds
111,Duku,NG,2022-08-11 02:57:51,11.2361,4.9073,73.35,94,88,3.89,overcast clouds
112,Cuenca,EC,2022-08-11 02:57:52,-2.8833,-78.9833,51.93,100,75,2.3,light rain
113,Norman Wells,CA,2022-08-11 02:54:29,65.282,-126.8329,57.67,47,56,9.06,broken clouds
114,Shelby,US,2022-08-11 02:57:52,35.2001,-89.8668,77.45,91,0,0.0,clear sky
115,Birjand,IR,2022-08-11 02:57:52,32.8663,59.2211,68.47,26,0,6.91,clear sky
116,Sapa,PH,2022-08-11 02:57:53,5.1544,120.3241,84.92,66,89,4.18,overcast clouds
117,Mezen,RU,2022-08-11 02:57:53,65.8522,44.24,56.66,68,96,9.64,overcast clouds
118,Hilo,US,2022-08-11 02:57:53,19.7297,-155.09,87.28,81,39,5.01,scattered clouds
119,Japura,ID,2022-08-11 02:57:54,-0.3167,102.35,87.24,61,65,4.63,broken clouds
120,Adrar,MR,2022-08-11 02:57:54,20.5022,-10.0711,90.52,32,70,9.15,broken clouds
121,Hernani,ES,2022-08-11 02:57:54,43.2662,-1.9762,80.2,61,0,4.61,light rain
122,Manakara,MG,2022-08-11 02:57:54,-22.1333,48.0167,65.89,75,56,4.76,broken clouds
123,Hithadhoo,MV,2022-08-11 02:55:51,-0.6,73.0833,82.2,72,3,10.11,clear sky
124,Leh,IN,2022-08-11 02:57:55,34.1667,77.5833,66.9,53,79,5.68,broken clouds
