City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Onalaska,US,75.25,clear sky,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
644,Kilindoni,TZ,75.65,scattered clouds,-7.9139,39.6668,Bustani B&B
646,Salvador,SV,69.04,overcast clouds,13.8333,-88.9167,Chico's Ranch
647,Burns Lake,CA,75.52,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
654,Zhangjiakou,CN,80.65,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
656,Kamensk-Uralskiy,RU,69.89,clear sky,56.4185,61.9329,Green Hall Hotel
657,Davidson,US,75.49,broken clouds,36.1501,-86.7833,Best Western Plus Music Row
658,Manono,CD,68.34,clear sky,-7.3,27.4167,Hotel hewa bora
661,Ascension,US,79.0,scattered clouds,30.2169,-90.9001,Highland Inn
666,Lascahobas,HT,76.95,broken clouds,18.8294,-71.9364,oasisinn lascahobas
667,Esil,KZ,68.67,clear sky,51.9556,66.4042,Egorkino Hotel
676,Piranshahr,IR,70.09,clear sky,36.701,45.1413,مسافر خانه سعدی
677,Teramo,IT,70.02,clear sky,42.65,13.6833,Hotel Gran Sasso
678,Kropotkin,RU,71.6,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
682,Boysun,UZ,74.64,clear sky,38.2061,67.1986,Gaza Hotel
686,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
687,Kathmandu,NP,77.22,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
690,Furano,JP,80.91,clear sky,43.2818,142.4743,星人の宿・ペンション和田
691,Altay,CN,77.02,clear sky,47.8667,88.1167,Jinqiao Hotel
